,debate,date,speech,name,party,sentiment,score
82,Brexit: Withdrawal Agreement and Political Declaration,9 January 2019,"Like almost everybody in or out of Parliament, I am approaching despair at the Government’s inability to come to an agreement with the EU that can satisfy a majority of MPs. I am beginning to think that any deal would be better than nothing. That view is, I suppose, what Mrs May is counting on. At least she has a deal of sorts to offer but if it is rejected by the Commons, as most pundits believe it will be, the best way in which the country can get out of this mess, in the short term anyway, is to continue as a member of the EU in the hope that, by working from the inside, in time we can reverse and amend some of Brussels’s restrictions that so frustrate us.",The Earl of Glasgow,Liberal Democrat,Tentative,0.944387
83,The Government's Plan for Brexit,7 December 2016,"However, if the Government fail at the Supreme Court, there will have to be a legislative process. This is not a legislative process today, is it?",Chris Bryant,Labour,Confident,0.862626
84,Brexit and Foreign Affairs,26 June 2017,This is obviously the start of a very special relationship. The Secretary of State will know that the Prime Minister earlier published a document about EU citizens living in the UK. The one thing she failed to mention in the House was that all those EU citizens would not be functioning exactly as they are now. They will have to have documentation with them; they will effectively have to have an ID card. I am surprised: surely this Secretary of State is not going to support ID cards for EU nationals living in the UK.,Chris Bryant,Labour,Confident,0.955084
85,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,"What passport queues will British citizens use from next April when they are entering European Union countries? What passport queues will EU citizens use when they arrive at Heathrow, Gatwick or any of our other airports? Will there be any special British passport queues?",Chris Bryant,Labour,Tentative,0.949952
86,Brexit: Trade in Goods (EUC Report),18 July 2017,"However, Ministers produced a set of excuses for why nothing was going to be said. The first was, “We don’t reveal our bargaining hand, but later in the process we may”. As someone who has spent his life negotiating, I do not accept that. Generally, as you get deeper into a negotiation, it becomes more complex. As you get closer to the detail, and the difficulty in striking the final deal is what is in the front of your mind, that is when you do not talk about it—that is when it is hardest to talk about it. At the beginning, you could say what the architecture is of the objectives that you are seeking. So I did not accept that that was an excuse. I also did not accept that we should not worry because it will all be all right in the end, which did not seem to be the most compelling argument I had ever heard either. As I have said, I draw the conclusion from all that that they did not actually have a huge amount to say.",Lord Triesman,Labour,Sadness,0.517967
87,Brexit: Trade in Goods (EUC Report),18 July 2017,"I fear that the approach that is being taken infantilises us, at both ends of this building. It treats us as though we were a group of children who could not take a mature discussion of mature difficulties—the sort of discussion that we all of us probably in one sense look forward to. It often sounds almost like an appeal to the Tooth Fairy: “It will all turn out all right. Something will turn up and deal with the issues”.",Lord Triesman,Labour,Fear,0.689854
88,Brexit: Trade in Goods (EUC Report),18 July 2017,"I join everyone else in thanking the noble Baroness, Lady Verma, for the way in which she chaired this committee, as well as the staff, who deserve profound thanks for an extremely detailed and complex piece of work, conducted frictionlessly—I think that is one of the occasions when I can use the word safely. I also thank my colleagues on the committee because I felt it was an extraordinary adult education class, with a huge amount learned in every session of it. I deeply appreciate that.",Lord Triesman,Labour,Confident,0.859164
89,Brexit: Trade in Goods (EUC Report),18 July 2017,"I know that the noble Lords, Lord Inglewood and Lord Bilimoria, have been making essentially the same sort of argument, but my final point is that if we are to be global, we will have to think global. We will have to change our mindset and think in a very different way. In doing that, we should not beguile ourselves with things which will not turn out to be accurate. I have heard the arguments about how the digital world is transforming everything. I have also noted from what the automotive industry said that we will have not just to read labels but to look inside the packaging. We will have to make checks, even if it is of samples, to ensure that the things as labelled or electronically tagged are what is inside. There were electronic labels on hamburgers which turned out to be little to do with beef and a great deal to do with horse and pork. They were labelled and electronically readable, but what was in the package was not what it said on the outside. These things will be complicated. When we consider the Northern Ireland food industry and the movement backwards and forwards across that border, we can see what the complexities will be.",Lord Triesman,Labour,Confident,0.583105
90,Brexit: Trade in Goods (EUC Report),18 July 2017,"I make that point because I want to address the idea that for the most part we did not speak to people who were in favour of Brexit; on the contrary, to claim that would be a travesty. The officials and others who assisted in the inquiry made sure that there was a very wide spectrum, so I hope there is no imputation that there was an attempt to screen out different voices; that was far from the case. In general, though, as the noble Lord, Lord Horam, was saying, there has been a certain lack of listening to the kinds of arguments that demonstrate the complexities. Although I do not mean to put words in anyone’s mouth, the noble Lord, Lord Livingston, made essentially the same point that we have not really listened very carefully to the counterparties in the whole of this process. As the noble Lord said, we are in a rush and they are not, and that is the worst negotiating position that you can ever find yourself in. I am quite sure that he avoided it at BT as far as he was humanly able.",Lord Triesman,Labour,Sadness,0.541229
91,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"I support my noble friend’s amendment in these critical circumstances. It recognises the dangerous shortcomings in our security profile, about which my noble friend Lord Browne warned us on Wednesday. It is an astonishing position for a permanent member of the Security Council to find itself in as a nation. There must be a moment when the weight of economic and commercial evidence is acknowledged by Brexiteers, although I note that on 16 December Jacob Rees-Mogg said that crashing out will boost the UK’s economy by more than £1.1 trillion. What world is he in? Goodness knows, in his case. I have gone back over previous rounds of major European venture financing decisions—the sort of things that businesspeople study to see which way the investment wind is blowing. It is a discouraging picture: only one of the top 10 capital raises was in the United Kingdom. The picture for higher education and culture is equally ugly, as others have said. I do not buy shares in the crash-out sunny uplands myth peddled by the hard right. Those saying it—except perhaps the noble Lord, Lord Lilley—cannot truly believe it either. Mr Rees-Mogg and his colleagues want to convince us that we will enjoy a soft landing. What they always omit to tell us is what we will be landing in.​",Lord Triesman,Labour,Sadness,0.617694
92,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"In my view, the worst thing about the Cameron referendum was arguably not the absurdity of trying to take so complex an issue to a conclusion by that lamentable route, or his palpable fear of Farage, or that he scuttled away after his failure; it was the deep divide that he bequeathed the people of the United Kingdom. While I hope for reconciliation, I do not pretend that it will happen anytime soon. The noble Lord, Lord Patten, was certainly right: we will not be divided by what happens in the near future because we are already deeply divided. I know that I cannot be reconciled to the atavistic nationalism expressed by some Brexiteers and I know full well that they cannot be reconciled to my instinct for internationalism and modernity. The much-researched social divisions in the United Kingdom may not be reconciled for a generation or more—certainly not by clustering around the Prime Minister’s unacceptable proposals. She never grasped what is involved in reaching out in a mature manner to all sides of Parliament.",Lord Triesman,Labour,Tentative,0.860213
93,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"It is plain that, until the last few days, the Prime Minister has not tried to reach out to others, and has then tried mainly to frighten them; nor has the leader of my party reached out to anyone. Our calamity has not found our Churchill and Attlee. We do not seem that grown up. Perhaps someone with the moral authority to do so can take the kind of approach taken by Desmond Tutu: to convene urgently an effort to find common ground, hopefully with the broader and more deliberative discussion advocated by my noble friend Lady Armstrong, between crashing out and rebuilding a decent, united United Kingdom. There is little time and I see no sign of the Commons Front Bench doing it. Were the most reverend Primate the Archbishop of Canterbury here, I would ask him—I will have to ask the most reverend Primate the Archbishop of York instead—whether the Church is up to the challenge of carrying out reconciliation, not just calling for it.",Lord Triesman,Labour,Tentative,0.912653
94,Brexit: Trade in Goods (EUC Report),18 July 2017,"It is unfair to pick on any particular witness for excellence, but Mike Hawes from the automotive industry was a very good example. His discussion of the character of the value chain and border crossings—which has implications in a different industry for Northern Ireland, which is worth reading off from what he had to say— was essentially about automotive assembly. It raises critical questions in a world in which the smoothness of the supply chain is critical to business and building more warehousing to use as a buffer, as he described it, is not a practical solution.",Lord Triesman,Labour,Joy,0.578478
95,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"My Lords, at the start of this debate, the most reverend Primate the Archbishop of Canterbury expressed two objectives. The first was, rightly, that there should be proper regard for real facts on the ground. He cited east Kent and elsewhere. The second, also right, was a desire to see a deeply fractured nation drawn back together by some form of reconciliation.",Lord Triesman,Labour,Joy,0.64751
96,Brexit: Trade in Goods (EUC Report),18 July 2017,"Noble Lords will see that the report reaches some obvious conclusions: almost everything is unknown; almost everything that affects investment decisions will continue to remain unknown; and the timetable is very problematic, as many noble Lords have said—it is not ​that it is short, it is a strangulation. I cannot see how anybody can make a deal work to do all the things expected of it. Incidentally and paradoxically—a point made by several noble Lords—when people are taking investment decisions, they need a long run-in, particularly for significant decisions about large sums of money. They need to be taking them now. The more high-tech we are, the more we are interested in those businesses, the more that that is a problem. As the Israeli entrepreneurs said, the lifetime of products of leading-edge, high-tech businesses is between two-and-a-quarter and two-and-a-half years before they are superseded. If decisions are not being made about such investment today, the products will not be there when the two years are up. If they are made much later, they will not be there for several years beyond that, and we will not be competitors in those markets. I suppose one ought also to say that sterling is on a giddy ride; that does not help to create a sense of stability.",Lord Triesman,Labour,Tentative,0.644193
97,Brexit: Trade in Goods (EUC Report),18 July 2017,"So I am not up for any fanciful claims about what can be done. I am not up for any alternative facts about how everyone else will respond to us, because it does not accord with any of my experience in business or international relations, and we have to be real. We have to be real about who is capable of conducting negotiations. I have met many people in business and in trade unions who are very good negotiators; commercial lawyers are often extremely good negotiators; but I have met only a handful of politicians who can do the job, and they are not among the best and most natural negotiators whom I have met in my professional life.",Lord Triesman,Labour,Joy,0.636461
98,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"The fault line between embedded nationalism and modern social democracy should not surprise us; it is visible in the United Kingdom, many parts of Europe and the United States. It has constituted the basis for turmoil in Europe for centuries. It has never gone away. Victories for nationalists have scarred Europe more than any other experience, yet we never seem to learn fully from such disasters. Where institutions build peace and security, we still seem to pull towards chaos and crisis. Nationalistic populism still has broad appeal, especially when it is focused on foreigners—people not like us who can be blamed for a failing economy that leaves people and institutions struggling, for austerity and for feeling humiliated. Those sentiments must be addressed fully and properly.​",Lord Triesman,Labour,Sadness,0.652939
99,Brexit: Trade in Goods (EUC Report),18 July 2017,"Those who have done the job of trying to negotiate, not only in business, as many of us have, but also in government, negotiating major international deals, will know just how hard it is. I remember, in the period before the state visit of President Lula, the work that had to be done to try to pull together at least a ​minimum number of agreements that could be signed off with a flourish on that occasion. I will confess to the House that it took me about three years to get a cultural agreement to allow musicians to move freely between Brazil and Britain, which you would not think of as being the most complicated thing you would ever have to do in your life—not least because when the Brazilian negotiators came over they included Gilberto Gil, who sang pretty much through all the negotiations. It was none the less an extremely difficult job. We never really got to the end of the ethanol negotiations, and on services and education, we were miles apart after years of work. The Doha process was taking us more or less nowhere. I do not predict that we would never have arrived at a conclusion, but I am under no illusion about how difficult it is.",Lord Triesman,Labour,Sadness,0.652425
100,Brexit: Trade in Goods (EUC Report),18 July 2017,"We did not take particular evidence on this, but I know that many here will be familiar with the difficulties that Airbus is already experiencing in working out how it will move massively complicated parts of aircraft from north Wales and Lancashire to the continent. I do not say this as a harbinger of doom, but it will surely at some stage say, “This is not the best way to do it”, and start making it close to where it will assemble it. It would be foolish not to take that step.",Lord Triesman,Labour,Sadness,0.610134
101,Brexit: Trade in Goods (EUC Report),18 July 2017,"What I want to say next is not really a criticism of what some Conservative politicians and Peers have contributed to the debate; it is straightforwardly a criticism of the Government. I share the regret that there has not been a response. I suspect that another date will be needed to debate whatever response there is, because I cannot imagine that it will be uncontroversial or that we will not want to pay attention to it if it ever materialises. However, I have come to the conclusion, ​because of a batch of evidence, that it is not being withheld from us out of some spirit of malice or unhelpfulness; rather, nothing is being said because the Government really do not have anything to say. That was evident from the Ministers who were good enough to provide us with their time. They certainly cannot be faulted for having stayed on message; that is something I was never particularly good at but, my goodness, they were extremely good at it. They said that Brexit—well, your Lordships know what they said. They said the same things time and again and said them with a certain panache, and added more or less nothing to our knowledge.",Lord Triesman,Labour,Tentative,0.715368
102,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"What worries me most, and I conclude on this point, is the failure to focus on the prospects of young people, who took no part in the decision and who have been ignored by Jeremy Corbyn among others. They have a say every few years in general elections—nothing is set in stone—and here we are trying to bind them more or less indefinitely to a decision which all the evidence shows they abhor. Few mistakes are more dishonourable than damaging the future of our children and their children. We will rely on them as the architects of the future. Let us give them a decent start.",Lord Triesman,Labour,Sadness,0.570801
103,Brexit: Withdrawal Agreement and Political Declaration,14 January 2019,"When was our politics more toxic? With the miserable negativity of the remain campaign, the mind-staggering mendacity of the leave campaign and its funders and the brutality of the language that is now common, have we ever known worse? I cannot be reconciled to that kind of world view. Brexit is not the cause, of course, but it picked the scab open. Hate crime, xenophobia, rhetoric about the “citizens of nowhere” and a hostile environment for the people who wish to live here make us an uglier society by the day. Across the street from us, fascists scream at MPs. I cannot speak at first hand of the place where either of our most reverend Primates celebrates his religion, but what has happened when my place of worship must be surrounded continually by large numbers of guards? Is this what we must live with now? I would rather face the struggle against nationalism because we cannot run from it, but I offer a sincere challenge to those who say that conciliation is possible; the noble Lord, Lord Russell of Liverpool, made a similar point.",Lord Triesman,Labour,Joy,0.612395
104,Brexit and Foreign Affairs,26 June 2017,"It is a pleasure to follow the hon. Member for Brighton, Pavilion (Caroline Lucas) and the four superb maiden speeches that we have heard today. I am quite pleased with the progress that the Government are making in the transition from being part of the European Union to leaving it. First, they held the referendum. Then, seeing the right result, they committed to delivering on Brexit. They triggered article 50 and are now setting a clear, strong agenda in the Queen’s Speech.",Chris Green,Conservative,Joy,0.66262
105,Brexit and Foreign Affairs,26 June 2017,"It is important to reflect that when we had the referendum a year ago, the result was that we should leave the European Union. There was no lack of certainty in that, yet to hear people today, we might almost think that the general election had cancelled out the referendum result. We still need to leave the European Union, yet elements of the political establishment seem to be doing whatever they can, in a kind of war of attrition, to undermine the decision of the British people. It is a deliberate redefining of what Brexit means, and we have seen the invention of the notions of hard and soft Brexit, which never existed before the referendum. There is no such thing.",Chris Green,Conservative,Tentative,0.840448
106,Brexit and Foreign Affairs,26 June 2017,"The Queen’s Speech builds on the positive attitude and outlook of the leave campaign. We have a positive vision for the future of the country. We want to go out to the world. We want a fantastic relationship with the European Union, and there is no reason why we cannot have that. However, the continuity remain campaign seems to be a rather depressing place, full of depressing arguments. Other than dumping the Members of the European Parliament, it seems as though it wants no change whatsoever—remain in all but name.",Chris Green,Conservative,Sadness,0.63123
107,Brexit and Foreign Affairs,26 June 2017,"This reminds me of when the British people voted in the referendum in 1975 to remain in the European Economic Community, which people understood to mean the common market. Since then, year in and year out, more power has been accrued to what is now the European Union, which seems to be on the verge of becoming a united states of Europe. Just as the European ​Union’s identity and nature have changed profoundly, the nature of the argument and debate in Britain has also changed, but the decision of the British people has not changed: we should still be leaving the European Union.",Chris Green,Conservative,Tentative,0.623954
108,The Government's Plan for Brexit,7 December 2016,"I am listening to what the right hon. Gentleman says about the CAP, but does he believe that post-Brexit—in 2019 and 2020—the UK Government should continue to give support to farmers at the levels they are currently receiving? Does he believe that that money should still go to farmers or not?",Angela Smith,Labour,Tentative,0.94373
109,The Government's Plan for Brexit,7 December 2016,"I shall come on to the option that we should follow in the negotiations. As many Members have illustrated, we all have views on where we should be going. The National Farmers Union has modelled three scenarios for the outcome of the negotiations: a free trade agreement with the European Union; World Trade Organisation rules; and trade liberalisation.",Angela Smith,Labour,Confident,0.543151
110,The Government's Plan for Brexit,7 December 2016,"I will vote against the amendment, therefore, because there are no guarantees before us today. Nothing that I have heard today gives me confidence that the Government will not try to wriggle out of the commitment to put a ​plan before this House. The vote today is not against Brexit, but against a motion that will potentially curtail the right of Parliament to act in the national interest, as it should do, and in so doing, act in the interests of our constituents.",Angela Smith,Labour,Joy,0.521329
111,The Government's Plan for Brexit,7 December 2016,"The farming industry employs more than 80,000 seasonal workers a year. The NFU has called for a seasonal agricultural workers permit scheme. The Government refuse to commit to such a scheme, but without that input there is little hope for the horticultural sector. Furthermore, the food and drink manufacturing sector has a skills gap. By 2024, it will stand at 130,000. On top of that, one in 12 employers in the sector report an intention on the part of their employees to go back home.",Angela Smith,Labour,Sadness,0.517284
112,The Government's Plan for Brexit,7 December 2016,The labour shortages that will or could result from Brexit should be taken seriously by the Government. We need to know what resources and plans are required to take account of immigration policy and restrictions on freedom of movement and on the development of the domestic workforce. It is reasonable that this Chamber has an understanding of where the Government are going on this key issue before it accepts the Government’s negotiating position on Brexit. These concerns should be addressed when the Government publish their plan.,Angela Smith,Labour,Tentative,0.581449
113,The Government's Plan for Brexit,7 December 2016,"The people may have voted for Brexit—we cannot say this often enough, either—but they did not vote to be poorer. I echo the comments made by my right hon. Friends the Members for Leeds Central (Hilary Benn) and for Doncaster North (Edward Miliband). The time for digs against and negative comments about those of us who want the best possible deal for the UK is over. It is time to move on and to be responsible and mature in terms of what we are looking for.",Angela Smith,Labour,Tentative,0.820919
114,The Government's Plan for Brexit,7 December 2016,"The potential cost to farming of non-tariff barriers to access the EU and worldwide trade range from 5% as a result of regulatory divergence to 8%. If direct farm payments are reduced or taken away completely from farmers in those scenarios, there will be a hugely negative impact on farm incomes, ranging from a reduction of £24,000 per annum under the best deal—the free trade deal—to an impact of over £30,000 per annum on ​individual farm income under the trade liberalisation scenario. The EU spends £3.2 billion a year on support to farmers, which is just under 25% of what we pay the EU to be a member of the Union. A key question for the Commons is whether we continue direct farm payments to farmers at the existing 100% level. Do we reduce it, and do we look at the impact on farm trade and individual farmers? We need answers to those questions before we can sign off any Government position on what we do in Brussels in summer 2017.",Angela Smith,Labour,Sadness,0.634755
115,Brexit and Foreign Affairs,26 June 2017,"I accept your stricture, Mr Amess. I agree completely with my hon. Friend, whom I am delighted to see back in his place in the House of Commons. British farming is already doing a great deal to support the environment. In designing a new system of support, we should emphasise that farmers need to be rewarded for what they are doing to conserve the landscape for future generations.",Mr John Whittingdale,Conservative,Confident,0.701849
116,Brexit and Foreign Affairs,26 June 2017,"I am pleased to see the Foreign Secretary in his place. He may know that I have taken a long-standing interest in events in Ukraine, and I am delighted that he will be meeting the Prime Minister of Ukraine next week. Ukraine may have passed out of the headlines, but the conflict going on in that country is still raging. About 2,700 troops have died since 2014 and nearly 10,000 have been wounded. This is a country on the mainland of continental Europe, part of which is still under occupation in Crimea by Russian troops. In another part, a separatist movement supported by Russia is waging war. We support the Minsk process to try to put that right, but we do have a responsibility as one of the original signatories to the Budapest memorandum, which guaranteed the territorial integrity of Ukraine. I very much welcome the attention that my right hon. Friend the Foreign Secretary is paying to this, and I hope that he will take the opportunity next week to express once again the very firm support of the British Government for the people of Ukraine.",Mr John Whittingdale,Conservative,Sadness,0.652536
117,Brexit Negotiations and No Deal Contingency Planning,4 September 2018,"May I confirm what the Chairman of the Select Committee has just said? Mr Barnier said to us in Brussels yesterday that the Chequers proposal fundamentally undermines the single market and is unacceptable. He went on to say, however, that he was keen to negotiate a free trade agreement, with associated agreements in the other areas that the Secretary of State has described. Is not it now time, therefore, to abandon the flawed proposal that is not going to work, and instead try to achieve an agreement that delivers Brexit and preserves the fullest level of co-operation?",Mr John Whittingdale,Conservative,Tentative,0.526858
118,Brexit and Foreign Affairs,26 June 2017,"Negotiating many of the detailed issues will be the responsibility of my right hon. Friend the Secretary of State, and the talks are just beginning. I do not agree with the right hon. and learned Gentleman when he says that no deal is necessarily worse than whatever bad deal we may get. It would be crazy for us to go in at the start stating that we could not contemplate not reaching a deal. That is a guarantee of not getting the best outcome. I do not want to spend too much time on the negotiations. I hope that, if I am successful in re-joining the Select Committee under the chairmanship of the right hon. Member for Leeds Central (Hilary Benn)—if he is chosen as the Chairman—we will be seeing a great deal of the Secretary of State.​",Mr John Whittingdale,Conservative,Tentative,0.589202
119,Brexit and Foreign Affairs,26 June 2017,The immigration Bill will allow us to design our own system of determining whom we should welcome into this country and to whom we should say that we simply cannot accommodate them given the need to reduce the overall level. It means that we can create an immigration system that is fair to all and that does not discriminate in favour of European citizens against non-European citizens. We can judge everybody on the basis of what contribution they can make.,Mr John Whittingdale,Conservative,Joy,0.518554
120,Brexit and Foreign Affairs,26 June 2017,"The opportunities that come from our decision are set out very clearly in the Queen’s Speech, and the first is the repeal Bill. I would have thought that everybody in this House welcomed the fact that, as we are going to leave the European Union in two years’ time or thereabouts, the repeal Bill will give certainty as it ensures that European law, which currently applies, will be transferred into British law. It also gives us the opportunity to consider at our leisure each of those individual measures to decide whether they are most appropriately framed and whether we could reduce some of the burden, or, in some instances, perhaps even increase the protection if we think that that is the right thing to do. The repeal Bill is not necessarily about reducing regulation— although there may well be plenty of examples where it is sensible to do so—but about giving us back the control to decide for ourselves the most appropriate level of regulation.",Mr John Whittingdale,Conservative,Tentative,0.687065
121,Brexit and Foreign Affairs,26 June 2017,"The trade Bill allows us now to reach new agreements with the countries that offer the greatest opportunities—the countries that are experiencing the fastest growth and where there is the most likely demand for British exports and British goods. It is no coincidence that there is no European trade deal with China, India, Australia, Brazil, New Zealand, or the United States of America, and yet all those countries want to do business with us and trade with us, and this gives us the opportunity to do so.",Mr John Whittingdale,Conservative,Joy,0.717787
122,Brexit and Foreign Affairs,26 June 2017,"This debate about hard Brexit versus soft Brexit is a complete fiction. Soft Brexit does not exist. Apparently, it means remaining within the single market and customs union, which means that we will not be able to set our own immigration policy or our own trade policy and that we will still be subject to the European Court of Justice. Frankly, soft Brexit is worse than remaining a member of the European Union. The reasons that we wanted to leave the European Union require us no longer to be a member of either the single market or the customs union. Therefore, I strongly support the approach taken by my right hon. Friend and the Prime Minister.",Mr John Whittingdale,Conservative,Tentative,0.70762
123,Brexit and Foreign Affairs,26 June 2017,"Where I agree with the right hon. and learned Member for Holborn and St Pancras (Keir Starmer) is on the fact that the decision that was taken just over one year ago was probably the most momentous political decision taken in my lifetime and that it will have profound consequences for this country. Obviously, it is essential that we should try to get the best possible deal. Unlike him, though, I campaigned in favour of a leave vote and I continue to believe that the decision that was taken is in the best interests of this country and offers huge opportunities for us both to reassert the supremacy of Parliament in our becoming an independent self-governing nation again and to take advantages of the opportunities that are opening up to us around the world.",Mr John Whittingdale,Conservative,Tentative,0.73106
124,Brexit and Foreign Affairs,26 June 2017,I add my congratulations to Members who have made their maiden speeches this evening—particularly those who have hung around and listened to the rest of the debate.,Ronnie Cowan,Scottish National Party,Joy,0.580708
125,Brexit and Foreign Affairs,26 June 2017,"I once drove through a snowstorm to get from Darlington to Jedburgh. I clearly remember driving up Carter Bar, which leads over the border between Scotland and England. When I reached the top, I was chuffed to bits: I had manoeuvred a rear-wheel-drive automatic through difficult terrain in a snowstorm. Then the reality dawned on me: the second half of the journey would be the hard bit. A steep decline, twisting and turning with no road markings and every chance of running off the road—that is what lay ahead, and that is my Brexit allegory.",Ronnie Cowan,Scottish National Party,Confident,0.718218
126,Brexit and Foreign Affairs,26 June 2017,"The Prime Minister and her cohorts, blinded with power, have marched us to the top of the hill, only to discover that in this case it is a cliff edge. Over time, plenty of people have negotiated difficult journeys but I fear that the Brexit journey that lies ahead will be particularly dangerous. Those leading it will not admit just how hard it is going to be. They should be seeking out every pitfall and identifying all the hazards—instead, we are being fed a diatribe of jingoistic clichés.",Ronnie Cowan,Scottish National Party,Fear,0.573619
127,Brexit and Foreign Affairs,26 June 2017,"The situation was a mess before the Prime Minister called a general election but now her selfish actions have complicated matters beyond anyone’s wildest nightmare. No one will form a coalition with this precarious Government; the Democratic Unionists have chosen to provide their votes when it suits them, supplying a billion pounds’ worth of tissues when it all goes wrong.",Ronnie Cowan,Scottish National Party,Sadness,0.506541
128,Brexit and Foreign Affairs,26 June 2017,"This brave new world seems to be based on an, “We did it before and we can do it again” empire mentality, flag waving and patriotism. As we turn our backs on the European Union and seek to create new trade agreements, we will require diplomacy and negotiating skills, which so far have been conspicuously absent in the whole Brexit mess. That is one reason why I have been delighted to hear that politicians across the EU have in increasing numbers been prepared to add their support for Scotland to remain in the EU and the single market. While the UK was committed to the EU, those same voices remained silent: they respected the UK and its position. However, by serving article 50 to leave the EU, the UK has turned its back on the EU and the single market. As a result, the loyalty of previous partners has been lost.",Ronnie Cowan,Scottish National Party,Sadness,0.587231
129,The Government's Plan for Brexit,7 December 2016,"I agree with my right hon. Friend that it is certainly not xenophobic or racist to call out unscrupulous employers who are causing some of the problems in our working-class areas by allowing the undercutting of wages, which is causing resentment from people who work in traditional industries such as the construction sector. Is not that what we really need to understand? We hear it constantly on the doorstep.",Steve Rotheram,Labour,Tentative,0.795505
130,The Government's Plan for Brexit,7 December 2016,"I also believe that both options are acceptable to the UK. In the view of most people, retaining the status quo would obviously be the superior option if we could get it immediately, but if we go to trading on WTO terms, the average tariff would be about 4%—much less than that on average on manufactured products, but the 4% includes agricultural products. We have just experienced a 15% devaluation against the euro, so our exporters will, on balance, be much better off even with those tariffs, whereas exporters to us will have to face a 15% hurdle plus that 4% average tariff, so they will be much worse off.",Lord Lilley,Conservative,Tentative,0.78867
131,The Government's Plan for Brexit,7 December 2016,"I want to make two main points. The first is that the Government’s position is much clearer than many Opposition Members are willing to believe and that it narrows the range of outcomes very considerably. The second is that what matters as much as, if not more than, the Government’s position is the position of our partners in Europe, yet no one on the Opposition Benches has mentioned that—there seems to be a sort of arrogance in suggesting that we can say, “We want this and we’ll get it.” Or perhaps it is subservience in saying, “We want this and we’ll, give any concession in order to obtain it.”",Lord Lilley,Conservative,Tentative,0.907353
132,The Government's Plan for Brexit,7 December 2016,"It is important that we emphasise to our negotiating partners that although we might prefer to continue with the status quo, if they do not want it, we are willing to walk away and trade on WTO terms. Quite a few Opposition Members have been trade unionists and are used to negotiating, but not many people in this House are. We cannot successfully negotiate unless we are prepared to walk away with no deal. Ultimately, however, it will be our partners in Europe—the EU 27—that will choose between whether we continue with roughly the status quo or whether we move to WTO terms and some obstacles.",Lord Lilley,Conservative,Tentative,0.836844
133,The Government's Plan for Brexit,7 December 2016,"My right hon. Friend makes a good point, and I would add that we do not easily manufacture oranges at scale in this country.",Lord Lilley,Conservative,Joy,0.653283
134,The Government's Plan for Brexit,7 December 2016,"Our EU partners will choose. If their primary concern is the economic wellbeing of their people, they will choose to continue with free trade. If their overriding primary concern is political and if they want to punish us and be seen to punish us, they will go with WTO terms. In practice, they will punish themselves far more, and we should make that clear. We cannot negotiate our way into making them choose one option over the other. We can perhaps try to persuade them, their industries and their electorates that they will be much better off if they continue to trade with us on roughly the current basis than if they move to WTO terms, under which they will be the principal losers. We are their single biggest market. A fifth of all German cars come here, much French wine comes here, and so on. Let us go to them and say, “It is a simple choice, make that choice”—",Lord Lilley,Conservative,Joy,0.610777
135,The Government's Plan for Brexit,7 December 2016,"Secondly, we will not be members of the European economic area, because all members of the European economic area have to accept free movement, and the Government have ruled that out. On top of that, we cannot negotiate service deals because we do not have control over the laws governing all our service industries. This was described during the referendum campaign by the current Chancellor of the Exchequer as the worst of all possible worlds, and many others on that side of the argument supported him. Now, however, they suddenly want to be part of that worst of all possible worlds.",Lord Lilley,Conservative,Confident,0.852583
136,The Government's Plan for Brexit,7 December 2016,"The Government’s position has ruled out three options. First, we will not be part of the internal market of the European Union. I use the term “internal market” because that is what it is called in European law. There is no such thing in European law as the single market. To be a member of the internal market, we would have to be a member state subject to all the laws of the European Union, and the Prime Minister and the Secretary of State today have said that we will not be subject to the European Court of Justice.",Lord Lilley,Conservative,Confident,0.85071
137,The Government's Plan for Brexit,7 December 2016,"There are two realistic options. The first is that we continue with roughly the status quo: tariff-free trade and no new barriers to service trade. The EU already has free trade agreements that do not require free movement with 50 countries. The second is that we trade with them on WTO terms and they might try to make trade in our service and financial services industries ​a bit more difficult. The important thing is that both options are actually very simple to negotiate. Going from zero tariffs to zero tariffs is much easier than negotiating a trade agreement between Canada and the European Union, where each side has 5,000 or 10,000 different tariff lines and must trade them off against each other. We also have exactly the same rules on products and so on as our partners in Europe. The status quo would therefore be simple to negotiate. The WTO option does not even require negotiation; it is what happens if the negotiations have no successful outcome. Both are simple and could be done quickly.",Lord Lilley,Conservative,Joy,0.579676
138,The Government's Plan for Brexit,7 December 2016,"Thirdly, we cannot be subject to the common external tariff of the EU because we are champions of free trade, according to the Prime Minister. We set up a Department for International Trade that has to be able to negotiate tariffs. We also want to cut the tariffs on products that we do not produce—including food and clothing products on which the EU imposes very high tariffs—because those tariffs are damaging to the just-about-managing people in this country. So those three options are ruled out, which leaves two realistic options.",Lord Lilley,Conservative,Confident,0.776044
